,Unnamed: 0.2,Unnamed: 0.1,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,XGB_pred,XGB_accuracy,XGB_prob,ANN_pred,ANN_accuracy,ANN_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,LSTM_price_accuracy,LogReg_pred,LogReg_accuracy,LogReg_prob,RNN_pred,RNN_accuracy,RNN_prob
330,330,330,0,0.5236294896030246,0.4245420200714319,1,0.558601134215501,0.5447261894900689,1,0.5330812854442344,0.54055744,0,0.441398865784499,0.46713048,1,0.5293005671077504,0.510845264699716,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5749041448836532,1,0.552930056710775,0.5268079
331,331,331,1,0.5236294896030246,0.5553202630702632,1,0.558601134215501,0.5414690373530712,1,0.5330812854442344,0.54105026,0,0.441398865784499,0.46445182,1,0.5293005671077504,0.520337475271424,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.574294476722699,1,0.552930056710775,0.54712254
332,332,332,0,0.5236294896030246,0.3882090964590963,1,0.558601134215501,0.546629429474549,0,0.5330812854442344,0.43079066,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5211638249616118,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5884564774751793,1,0.552930056710775,0.53357476
333,333,333,0,0.5236294896030246,0.3984581603037485,1,0.558601134215501,0.5394896675620512,1,0.5330812854442344,0.516988,0,0.441398865784499,0.464505,0,0.5293005671077504,0.4971028311046192,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5947413942451696,1,0.552930056710775,0.519169
334,334,334,0,0.5236294896030246,0.4404760174466056,1,0.558601134215501,0.5388634070513887,1,0.5330812854442344,0.516988,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5005334161721595,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5925596792782609,1,0.552930056710775,0.5166437
335,335,335,1,0.5236294896030246,0.6347622181739827,1,0.558601134215501,0.5407781955262588,1,0.5330812854442344,0.5874619,0,0.441398865784499,0.46471217,1,0.5293005671077504,0.5353540900407264,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5993777201779359,1,0.552930056710775,0.5415071
336,336,336,1,0.5236294896030246,0.6755555833055833,1,0.558601134215501,0.542914618064705,1,0.5330812854442344,0.5691955,0,0.441398865784499,0.4637146,1,0.5293005671077504,0.5178568092462992,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.6008737142954762,1,0.552930056710775,0.5303951
337,337,337,1,0.5236294896030246,0.535312645687646,1,0.558601134215501,0.5436738209625013,1,0.5330812854442344,0.5207426,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5075689073534434,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6124713570289948,1,0.552930056710775,0.5310108
338,338,338,1,0.5236294896030246,0.534297175047175,1,0.558601134215501,0.5407440789348992,1,0.5330812854442344,0.5456074,0,0.441398865784499,0.4662387,1,0.5293005671077504,0.51909838230347,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6234477136769673,1,0.552930056710775,0.53322995
339,339,339,0,0.5236294896030246,0.3308595016095015,1,0.558601134215501,0.5422679867004412,1,0.5330812854442344,0.5063339,0,0.441398865784499,0.46392706,1,0.5293005671077504,0.5211936846474655,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.625562915871831,1,0.552930056710775,0.54201114
340,340,340,0,0.5236294896030246,0.4479620853003205,1,0.558601134215501,0.5449561975598034,1,0.5330812854442344,0.55275494,0,0.441398865784499,0.46338198,1,0.5293005671077504,0.5211936846474655,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6404050962607537,1,0.552930056710775,0.53707874
341,341,341,0,0.5236294896030246,0.3569477466977468,1,0.558601134215501,0.5425028220513632,1,0.5330812854442344,0.50818706,0,0.441398865784499,0.463687,1,0.5293005671077504,0.5155299474680355,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.6482775428225152,1,0.552930056710775,0.5413492
342,342,342,0,0.5236294896030246,0.3248198745698745,1,0.558601134215501,0.5425294831301282,1,0.5330812854442344,0.5206935,0,0.441398865784499,0.46393096,1,0.5293005671077504,0.5155299474680355,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.6555355678165187,1,0.552930056710775,0.54260206
343,343,343,1,0.5236294896030246,0.5959686016597779,1,0.558601134215501,0.5440613632753993,1,0.5330812854442344,0.5437193,0,0.441398865784499,0.4636418,1,0.5293005671077504,0.5214823038071179,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.664559407381609,1,0.552930056710775,0.5339388
344,344,344,0,0.5236294896030246,0.4388207886884357,1,0.558601134215501,0.5415312504224736,1,0.5330812854442344,0.5364627,0,0.441398865784499,0.46330804,1,0.5293005671077504,0.5214248279750918,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.6686506171217244,1,0.552930056710775,0.54304725
345,345,345,1,0.5236294896030246,0.6084208846708844,1,0.558601134215501,0.5425622262152163,1,0.5330812854442344,0.6102726,0,0.441398865784499,0.46446264,1,0.5293005671077504,0.5211936846474655,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.6703278326716677,1,0.552930056710775,0.51055
346,346,346,0,0.5236294896030246,0.4087193223443223,1,0.558601134215501,0.5431827579569891,1,0.5330812854442344,0.5070682,0,0.441398865784499,0.46391442,1,0.5293005671077504,0.5056457806129397,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.670045714849801,1,0.552930056710775,0.52603847
347,347,347,0,0.5236294896030246,0.4313074217664001,1,0.558601134215501,0.5359680531615979,1,0.5330812854442344,0.50803095,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5039243676122052,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.6655744362163571,1,0.552930056710775,0.51029474
348,348,348,1,0.5236294896030246,0.5305876207126208,1,0.558601134215501,0.5387566860103109,1,0.5330812854442344,0.56016463,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5387817161409473,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6596876065931309,1,0.552930056710775,0.5158327
349,349,349,1,0.5236294896030246,0.5860745920745921,1,0.558601134215501,0.5385134191712783,1,0.5330812854442344,0.56128126,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5358563598360202,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.6449239411629014,1,0.552930056710775,0.5667607
350,350,350,1,0.5236294896030246,0.6203033216783216,1,0.558601134215501,0.5356022636061777,1,0.5330812854442344,0.5525786,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5373323362803575,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6244148635889814,1,0.552930056710775,0.56625307
351,351,351,1,0.5236294896030246,0.6128961177711177,1,0.558601134215501,0.5363222201968094,1,0.5330812854442344,0.58445877,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5373323362803575,0,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.6115221913984173,1,0.552930056710775,0.56402063
352,352,352,1,0.5236294896030246,0.586472406248722,1,0.558601134215501,0.5379539787934554,1,0.5330812854442344,0.5480744,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5377401327531889,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.6049045950796451,1,0.552930056710775,0.54888135
353,353,353,1,0.5236294896030246,0.5469108289371448,1,0.558601134215501,0.538625957209424,1,0.5330812854442344,0.5339137,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5215128729147027,0,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5978525648794769,1,0.552930056710775,0.5271811
354,354,354,1,0.5236294896030246,0.6775564851814849,1,0.558601134215501,0.5368511863469276,1,0.5330812854442344,0.5489815,0,0.441398865784499,0.4638214,1,0.5293005671077504,0.5147018659051164,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5949526199394648,1,0.552930056710775,0.5143546
355,355,355,1,0.5236294896030246,0.5969276418026416,1,0.558601134215501,0.5374212155472556,0,0.5330812854442344,0.47874695,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5140926359080503,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5847040861730051,1,0.552930056710775,0.5049277
356,356,356,1,0.5236294896030246,0.596409645909646,1,0.558601134215501,0.5364903919120084,1,0.5330812854442344,0.6001711,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5373323362803575,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5729972113890387,1,0.552930056710775,0.5579939
357,357,357,1,0.5236294896030246,0.6997861305361304,1,0.558601134215501,0.536407772110088,1,0.5330812854442344,0.5347402,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5389271862425524,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5708131120268791,1,0.552930056710775,0.56075853
358,358,358,1,0.5236294896030246,0.7212644558314062,1,0.558601134215501,0.538747891399347,1,0.5330812854442344,0.60712683,0,0.441398865784499,0.46460456,1,0.5293005671077504,0.5418497358970003,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5597527198442471,1,0.552930056710775,0.5665107
359,359,359,1,0.5236294896030246,0.7973915969651266,1,0.558601134215501,0.5383809500434482,1,0.5330812854442344,0.61553144,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5389271862425524,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5581885686039068,1,0.552930056710775,0.5638907
360,360,360,1,0.5236294896030246,0.63950481299746,1,0.558601134215501,0.5397464633565436,1,0.5330812854442344,0.56879276,0,0.441398865784499,0.46619362,1,0.5293005671077504,0.5149412536800102,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5526531239110823,1,0.552930056710775,0.5588873
361,361,361,1,0.5236294896030246,0.5056009449786539,1,0.558601134215501,0.5411724083999194,1,0.5330812854442344,0.5856782,0,0.441398865784499,0.4675903,1,0.5293005671077504,0.5119789181557587,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.561681331104458,1,0.552930056710775,0.51995146
362,362,362,1,0.5236294896030246,0.5050740729858377,1,0.558601134215501,0.543253095962954,1,0.5330812854442344,0.5390543,0,0.441398865784499,0.4674765,1,0.5293005671077504,0.5149511709451445,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5585568710427979,1,0.552930056710775,0.5275674
363,363,363,1,0.5236294896030246,0.6188648296148296,1,0.558601134215501,0.5402790361838269,1,0.5330812854442344,0.56295234,0,0.441398865784499,0.465862,1,0.5293005671077504,0.5141335043376256,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5564352090649237,1,0.552930056710775,0.519876
364,364,364,1,0.5236294896030246,0.6114299866799866,1,0.558601134215501,0.5393757043719687,1,0.5330812854442344,0.5709233,0,0.441398865784499,0.46528444,1,0.5293005671077504,0.5088879710854497,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5558514907575188,1,0.552930056710775,0.5196317
365,365,365,1,0.5236294896030246,0.6915101010101009,1,0.558601134215501,0.5411339174382005,1,0.5330812854442344,0.5741277,0,0.441398865784499,0.4647763,1,0.5293005671077504,0.5407658426292525,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5543717824896252,1,0.552930056710775,0.5622423
366,366,366,1,0.5236294896030246,0.6640624000182824,1,0.558601134215501,0.5405188431846937,1,0.5330812854442344,0.59999096,0,0.441398865784499,0.464505,1,0.5293005671077504,0.539080930195482,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5583218011581933,1,0.552930056710775,0.5656663
367,367,367,1,0.5236294896030246,0.6682304321495498,1,0.558601134215501,0.5410121835552804,1,0.5330812854442344,0.6313196,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5420033335066906,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5512255204653718,1,0.552930056710775,0.56605077
368,368,368,1,0.5236294896030246,0.7131835386835387,1,0.558601134215501,0.5415429873436816,1,0.5330812854442344,0.58730495,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5420033335066906,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5482655794723637,1,0.552930056710775,0.56363213
369,369,369,1,0.5236294896030246,0.5933779553779557,1,0.558601134215501,0.5445745755440844,1,0.5330812854442344,0.5486797,0,0.441398865784499,0.46689215,1,0.5293005671077504,0.5081294892384832,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5577556293108704,1,0.552930056710775,0.54302746
370,370,370,1,0.5236294896030246,0.5788647063720591,1,0.558601134215501,0.5446900392627825,1,0.5330812854442344,0.5486797,0,0.441398865784499,0.4674398,1,0.5293005671077504,0.5067525952691817,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5578932163695958,1,0.552930056710775,0.5463994
371,371,371,1,0.5236294896030246,0.6285161366411366,1,0.558601134215501,0.5428303409032446,1,0.5330812854442344,0.57975745,0,0.441398865784499,0.46704274,1,0.5293005671077504,0.5065819279570882,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5546364469291504,1,0.552930056710775,0.55873346
372,372,372,0,0.5236294896030246,0.4577016202751496,1,0.558601134215501,0.5436332603383839,1,0.5330812854442344,0.5123805,0,0.441398865784499,0.4665517,0,0.5293005671077504,0.4972039128331036,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.560950142888115,1,0.552930056710775,0.56020284
373,373,373,1,0.5236294896030246,0.5856255329637683,1,0.558601134215501,0.5449570674743018,1,0.5330812854442344,0.5507623,0,0.441398865784499,0.46461892,1,0.5293005671077504,0.5310082291221465,1,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5604147146031658,1,0.552930056710775,0.56475383
374,374,374,1,0.5236294896030246,0.6779804778554777,1,0.558601134215501,0.5459448324781458,1,0.5330812854442344,0.5874655,0,0.441398865784499,0.464505,1,0.5293005671077504,0.5185030538870219,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5705909627057826,1,0.552930056710775,0.564061
375,375,375,1,0.5236294896030246,0.5904102702852702,1,0.558601134215501,0.5482978381030383,1,0.5330812854442344,0.5732252,0,0.441398865784499,0.46464434,1,0.5293005671077504,0.5188285723044452,0,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5816088699169323,1,0.552930056710775,0.5599004
376,376,376,1,0.5236294896030246,0.6762760327907387,1,0.558601134215501,0.548097919838887,1,0.5330812854442344,0.54761076,0,0.441398865784499,0.46818554,1,0.5293005671077504,0.5180796367642789,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5729736106416085,1,0.552930056710775,0.5431276
377,377,377,1,0.5236294896030246,0.6987172141583907,1,0.558601134215501,0.5474716476402719,1,0.5330812854442344,0.5874294,0,0.441398865784499,0.46685937,1,0.5293005671077504,0.5178986292485547,0,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5718037178614395,1,0.552930056710775,0.5495621
378,378,378,0,0.5236294896030246,0.4455408202908202,1,0.558601134215501,0.5462718595134867,1,0.5330812854442344,0.5709233,0,0.441398865784499,0.46572116,1,0.5293005671077504,0.5095376647901007,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.5704481176949577,1,0.552930056710775,0.5124937
379,379,379,1,0.5236294896030246,0.5782966826774877,1,0.558601134215501,0.5464047187738886,1,0.5330812854442344,0.55761695,0,0.441398865784499,0.46759483,1,0.5293005671077504,0.5109575341450743,1,0,0.4829867674858223,0.0,0.6247637051039697,1,0.5274102079395085,0.566138625788728,1,0.552930056710775,0.53080076
380,380,380,0,0.5236294896030246,0.4643176113102584,1,0.558601134215501,0.5419318296733079,1,0.5330812854442344,0.53178495,0,0.441398865784499,0.46642303,1,0.5293005671077504,0.5026159786040099,1,0,0.4829867674858223,0.5,0.6247637051039697,1,0.5274102079395085,0.5629253795260827,1,0.552930056710775,0.56152946
381,381,381,1,0.5236294896030246,0.6918023781773782,1,0.558601134215501,0.5424647011317336,1,0.5330812854442344,0.59078443,0,0.441398865784499,0.466046,1,0.5293005671077504,0.5069659565085345,0,1,0.4829867674858223,1.0,0.6247637051039697,1,0.5274102079395085,0.5599040976821372,1,0.552930056710775,0.5622773
