,Unnamed: 0,LogReg_pred,LogReg_accuracy,LogReg_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,ANN_pred,ANN_accuracy,ANN_prob,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy
69,69,1,0.4878504672897196,0.5175165726381965,1,0.4897196261682243,0.5017583210686495,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.5192646,0,0.525233644859813,0.4357984654234654,1,0.4925233644859813,0.5187957621484138,0.8570093457943925
70,70,1,0.4878504672897196,0.5800965335949616,1,0.4897196261682243,0.5310193898129518,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.57451606,1,0.525233644859813,0.6168844905094906,1,0.4925233644859813,0.5234663082068612,0.8570093457943925
71,71,1,0.4878504672897196,0.5296926306497162,1,0.4897196261682243,0.509890817693363,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5468258,1,0.525233644859813,0.5852191419691415,1,0.4925233644859813,0.5204936052736839,0.8570093457943925
72,72,1,0.4878504672897196,0.5404209061271236,1,0.4897196261682243,0.5256366505513491,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.5434469,1,0.525233644859813,0.5414870684870684,1,0.4925233644859813,0.5214999216168702,0.8570093457943925
73,73,1,0.4878504672897196,0.5806956058555938,1,0.4897196261682243,0.5264013607770824,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.58548427,1,0.525233644859813,0.5327742029212618,1,0.4925233644859813,0.5246666700388624,0.8570093457943925
74,74,0,0.4878504672897196,0.460370147497176,1,0.4897196261682243,0.5182154080865838,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.51395816,0,0.525233644859813,0.4370831668331668,0,0.4925233644859813,0.5154466201409109,0.8570093457943925
75,75,0,0.4878504672897196,0.4830565828268764,0,0.4897196261682243,0.4904160900817532,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5328064,0,0.525233644859813,0.4508050838050837,1,0.4925233644859813,0.5167797274412722,0.8570093457943925
76,76,0,0.4878504672897196,0.4497583262179488,0,0.4897196261682243,0.4904160900817532,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5348929,1,0.525233644859813,0.5776167721167722,0,0.4925233644859813,0.5147125645569716,0.8570093457943925
77,77,0,0.4878504672897196,0.4317887278775252,0,0.4897196261682243,0.4904160900817532,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5398506,0,0.525233644859813,0.4009362165612165,0,0.4925233644859813,0.5135617081028471,0.8570093457943925
78,78,1,0.4878504672897196,0.5929490939360478,1,0.4897196261682243,0.5182154080865838,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.5771936,0,0.525233644859813,0.4278304334554336,1,0.4925233644859813,0.5239704009701542,0.8570093457943925
79,79,0,0.4878504672897196,0.4881070345521631,1,0.4897196261682243,0.512655136743842,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.55637753,1,0.525233644859813,0.5796916139416141,1,0.4925233644859813,0.516274645174383,0.8570093457943925
80,80,1,0.4878504672897196,0.5251101178166344,1,0.4897196261682243,0.5164802669988744,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.52303195,1,0.525233644859813,0.5351961094461095,1,0.4925233644859813,0.5177140834423638,0.8570093457943925
81,81,0,0.4878504672897196,0.4878003754859831,0,0.4897196261682243,0.4911624354487806,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.51833534,0,0.525233644859813,0.4962060162060162,0,0.4925233644859813,0.515275077066411,0.8570093457943925
82,82,1,0.4878504672897196,0.5109348651231109,0,0.4897196261682243,0.4911624354487806,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.52542573,1,0.525233644859813,0.5883094456712877,1,0.4925233644859813,0.5173010984706791,0.8570093457943925
83,83,0,0.4878504672897196,0.4950970698291875,0,0.4897196261682243,0.4911624354487806,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.52363473,0,0.525233644859813,0.378856768231768,1,0.4925233644859813,0.5161432303029286,0.8570093457943925
84,84,0,0.4878504672897196,0.4989450964255104,1,0.4897196261682243,0.5181832243824014,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5234246,0,0.525233644859813,0.4482014199251041,1,0.4925233644859813,0.5167387939643296,0.8570093457943925
85,85,1,0.4878504672897196,0.5056933045372739,1,0.4897196261682243,0.5182154080865838,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.525684,1,0.525233644859813,0.593950835928777,1,0.4925233644859813,0.5171499722105133,0.8570093457943925
