,Unnamed: 0.1,ANN_pred,ANN_accuracy,ANN_prob,y,kNN_pred,kNN_accuracy,kNN_prob,RF_pred,RF_accuracy,RF_prob,XGB_pred,XGB_accuracy,XGB_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy,RNN_pred,RNN_accuracy,RNN_prob,LogReg_pred,LogReg_accuracy,LogReg_prob
869,869,0,0.4690181124880839,0.39482787,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5736188868321223,1,0.5214489990467112,0.51889884,0,0.5338417540514776,0.4962814930731043,1,0.5224022878932316,0.5359982921988603,0.8303145853193518,1,0.5281220209723546,0.5439488,1,0.5176358436606292,0.5403448134468264
870,870,0,0.4690181124880839,0.33713955,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5552055028305029,1,0.5214489990467112,0.5319171,1,0.5338417540514776,0.5127867406476377,1,0.5224022878932316,0.5305964187456619,0.8303145853193518,1,0.5281220209723546,0.5392537,1,0.5176358436606292,0.5542685251963512
871,871,0,0.4690181124880839,0.35104126,1,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4737038264023559,1,0.5214489990467112,0.5211851,0,0.5338417540514776,0.4926994624231105,0,0.5224022878932316,0.4903956685257634,0.8303145853193518,1,0.5281220209723546,0.5403209,0,0.5176358436606292,0.4972933072939008
872,872,0,0.4690181124880839,0.34181255,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.416355813089559,0,0.5214489990467112,0.47290307,0,0.5338417540514776,0.4852057206418693,0,0.5224022878932316,0.4637183764002135,0.8303145853193518,1,0.5281220209723546,0.5436358,0,0.5176358436606292,0.46421684244111844
873,873,0,0.4690181124880839,0.38917324,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5239804468407406,1,0.5214489990467112,0.59234923,0,0.5338417540514776,0.4960702451693781,0,0.5224022878932316,0.4579448936533245,0.8303145853193518,1,0.5281220209723546,0.5381493,0,0.5176358436606292,0.4950549103389435
874,874,0,0.4690181124880839,0.34932756,1,0,0.4880838894184938,0.5,0,0.5147759771210677,0.372677024772613,0,0.5214489990467112,0.32041547,0,0.5338417540514776,0.4852072691986333,0,0.5224022878932316,0.4515399889762613,0.8303145853193518,1,0.5281220209723546,0.53375864,0,0.5176358436606292,0.4360695401217761
875,875,0,0.4690181124880839,0.31671804,1,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4503512223071048,1,0.5214489990467112,0.5136936,0,0.5338417540514776,0.4856799587388039,0,0.5224022878932316,0.4604747227605972,0.8303145853193518,1,0.5281220209723546,0.53236806,0,0.5176358436606292,0.43179870048503216
876,876,0,0.4690181124880839,0.33541974,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5029722997590644,1,0.5214489990467112,0.5314602,1,0.5338417540514776,0.5122149115715272,0,0.5224022878932316,0.4796538514472819,0.8303145853193518,1,0.5281220209723546,0.55419207,0,0.5176358436606292,0.4658536214557434
877,877,0,0.4690181124880839,0.37268078,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.676570780526663,1,0.5214489990467112,0.5604945,1,0.5338417540514776,0.5221739383419033,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.54429036,1,0.5176358436606292,0.5403832614125821
878,878,0,0.4690181124880839,0.3336198,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6481995694364115,1,0.5214489990467112,0.53154325,1,0.5338417540514776,0.5123842859854721,1,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.54518056,1,0.5176358436606292,0.5104529728144337
