,LogReg_pred,LogReg_accuracy,LogReg_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,ANN_pred,ANN_accuracy,ANN_prob,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy,RNN_pred,RNN_accuracy,RNN_prob,XGB_pred,XGB_accuracy,XGB_prob
823,1,0.4878504672897196,0.5122478629656015,1,0.4897196261682243,0.5264115091680087,0,0,0.508411214953271,0.0,1,0.4831775700934579,0.51282877,1,0.525233644859813,0.5205773776820689,1,0.4925233644859813,0.5200911593391584,0.8570093457943925,1,0.4934579439252336,0.559392,0,0.4962616822429906,0.4845249
824,1,0.4878504672897196,0.5699683022287224,1,0.4897196261682243,0.5107663791182804,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5128381,1,0.525233644859813,0.5498770894138543,1,0.4925233644859813,0.5241391692526292,0.8570093457943925,1,0.4934579439252336,0.5569976,1,0.4962616822429906,0.5173305
825,1,0.4878504672897196,0.523368061234616,1,0.4897196261682243,0.5199488837724489,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.51539224,0,0.525233644859813,0.4178217034083907,1,0.4925233644859813,0.5200230802408444,0.8570093457943925,1,0.4934579439252336,0.5448044,0,0.4962616822429906,0.49219283
826,1,0.4878504672897196,0.5103983104322461,1,0.4897196261682243,0.5025193701141861,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5044057,1,0.525233644859813,0.6050895468910173,1,0.4925233644859813,0.518681775742034,0.8570093457943925,0,0.4934579439252336,0.47960505,1,0.4962616822429906,0.50708497
827,1,0.4878504672897196,0.5181496826347622,1,0.4897196261682243,0.5194553998367095,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.50552785,1,0.525233644859813,0.514620710988358,1,0.4925233644859813,0.5195328729901101,0.8570093457943925,1,0.4934579439252336,0.5269351,0,0.4962616822429906,0.49086982
828,1,0.4878504672897196,0.5340525480992957,1,0.4897196261682243,0.5205620228385884,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.50954235,1,0.525233644859813,0.6902356963212225,1,0.4925233644859813,0.5203210186649093,0.8570093457943925,1,0.4934579439252336,0.55375254,1,0.4962616822429906,0.5336452
829,1,0.4878504672897196,0.5562828603685609,1,0.4897196261682243,0.5165537830592781,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.50886595,1,0.525233644859813,0.6471443099384276,1,0.4925233644859813,0.5214966393731257,0.8570093457943925,1,0.4934579439252336,0.56118923,0,0.4962616822429906,0.49044406
830,1,0.4878504672897196,0.5681026820796686,1,0.4897196261682243,0.5160375614167438,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.5867586,1,0.525233644859813,0.5256462426462426,1,0.4925233644859813,0.5237116181645813,0.8570093457943925,1,0.4934579439252336,0.61165714,1,0.4962616822429906,0.5724016
831,1,0.4878504672897196,0.6098502801639603,1,0.4897196261682243,0.5158593439150463,0,1,0.508411214953271,1.0,1,0.4831775700934579,0.5996194,0,0.525233644859813,0.4975846912375551,1,0.4925233644859813,0.5266975248368925,0.8570093457943925,1,0.4934579439252336,0.62900096,0,0.4962616822429906,0.4922951
832,1,0.4878504672897196,0.5981148234847263,1,0.4897196261682243,0.5155782928411361,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.57558346,1,0.525233644859813,0.6196219613719611,1,0.4925233644859813,0.5259998899638648,0.8570093457943925,1,0.4934579439252336,0.6194108,1,0.4962616822429906,0.55258286
833,1,0.4878504672897196,0.5942461111758582,1,0.4897196261682243,0.5158593439150463,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.57175136,1,0.525233644859813,0.6359909583170452,1,0.4925233644859813,0.5252396484342575,0.8570093457943925,1,0.4934579439252336,0.6215765,1,0.4962616822429906,0.5193986
834,1,0.4878504672897196,0.5187881910088844,1,0.4897196261682243,0.5090246551801034,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.53243417,1,0.525233644859813,0.5028885599694423,1,0.4925233644859813,0.5205848046729733,0.8570093457943925,1,0.4934579439252336,0.5592151,1,0.4962616822429906,0.50518364
835,1,0.4878504672897196,0.5010296084822795,1,0.4897196261682243,0.5104817806468073,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5189974,1,0.525233644859813,0.5183860839452943,1,0.4925233644859813,0.5197896154921977,0.8570093457943925,1,0.4934579439252336,0.5569663,0,0.4962616822429906,0.48511755
836,1,0.4878504672897196,0.5812977976850907,1,0.4897196261682243,0.510762982790255,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.54208857,1,0.525233644859813,0.5571330989272167,1,0.4925233644859813,0.5253608931117124,0.8570093457943925,1,0.4934579439252336,0.5557171,1,0.4962616822429906,0.50933003
837,1,0.4878504672897196,0.5462139098615479,1,0.4897196261682243,0.5186759606947633,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.53635836,0,0.525233644859813,0.4933938145188146,1,0.4925233644859813,0.523236206299919,0.8570093457943925,1,0.4934579439252336,0.55798197,1,0.4962616822429906,0.5854099
838,1,0.4878504672897196,0.564868979905255,1,0.4897196261682243,0.5162868728281732,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5136334,0,0.525233644859813,0.4258218061178588,1,0.4925233644859813,0.5244215151986418,0.8570093457943925,1,0.4934579439252336,0.5525216,1,0.4962616822429906,0.53451943
839,1,0.4878504672897196,0.5498935736133251,1,0.4897196261682243,0.5264115091680087,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5310748,1,0.525233644859813,0.6395172882672883,1,0.4925233644859813,0.5229337958688643,0.8570093457943925,1,0.4934579439252336,0.5588372,0,0.4962616822429906,0.49364877
840,1,0.4878504672897196,0.539904682737262,1,0.4897196261682243,0.510762982790255,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.53616786,0,0.525233644859813,0.429421574340692,1,0.4925233644859813,0.5221631534542903,0.8570093457943925,1,0.4934579439252336,0.5600722,0,0.4962616822429906,0.4953012
841,1,0.4878504672897196,0.535691628109777,1,0.4897196261682243,0.5241929159280846,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.52041996,0,0.525233644859813,0.378697320223636,1,0.4925233644859813,0.5221190842959629,0.8570093457943925,1,0.4934579439252336,0.5596558,1,0.4962616822429906,0.515659
842,1,0.4878504672897196,0.5718341675935803,1,0.4897196261682243,0.5158593439150463,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5650878,1,0.525233644859813,0.664366244866245,1,0.4925233644859813,0.5240573246678915,0.8570093457943925,1,0.4934579439252336,0.6005273,1,0.4962616822429906,0.5651899
